model_trait,model_trait_description,outcome_id,outcome_description,outcome_content,mapping_tier,sapa_proxy_construct,sapa_source_scales,sapa_item_ids,human_measurement_support_tier,exact_source_group,exact_source_group_size,overlap_item_ids,predictor_min_observed_items,outcome_min_observed_items,eligible_respondent_n,pearson_r,pearson_ci95_low,pearson_ci95_high,spearman_r,spearman_ci95_approx_low,spearman_ci95_approx_high,association_status,unavailable_reason
tactful,Carefully considers impact on others' feelings and chooses words diplomatically.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
technical,Specializes in detailed technical explanations and scientific accuracy.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
temperamental,"Exhibits variable emotional responses that can shift dramatically based on context. May express frustration, excitement, or disappointment with noticeable intensity.",HiFWB_composite,frozen_13_item_composite,Composite,direct,temperamental,BFAS:BFAS:N:V;IPIP100:B5:ES;IPIPneo:N3:DE,q_52;q_497;q_1099,REDUNDANT / BROAD,99c6cf17bb17,2,,2,2,565,-0.50822173,-0.56694243,-0.44436219,-0.51012196,-0.56868065,-0.44641861,observed,
theatrical,"Performs responses with dramatic flair, exaggerated gestures, and stage-like presence.",HiFWB_composite,frozen_13_item_composite,Composite,direct,theatrical,PS:PS:P;HEXACO:H:H:S,q_2951;q_1555,REDUNDANT / BROAD,e0163d56d1e5,1,,2,2,354,0.05883487,-0.04568043,0.16207606,0.0760062,-0.02845439,0.17882461,observed,
theoretical,"Emphasizes abstract concepts, models, and conceptual frameworks.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
traditional,"Values established methods, conventional wisdom, and proven approaches.",HiFWB_composite,frozen_13_item_composite,Composite,direct,traditional,IPIPneo:O4:AD;HEXACO:H:O:U;EPQr:EPQ:P,q_82;q_1301;q_4291,HIGH HUMAN-MEASUREMENT SUPPORT,f879f4efdef2,1,,2,2,841,0.03393274,-0.03374723,0.10130293,0.02201745,-0.04565307,0.08948682,observed,
transparent,"Communicates with complete openness, clarity, and nothing hidden or obscured.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
understated,Deliberately downplays significance and expresses ideas with restraint.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
universalist,Applies consistent principles and values across all cultures and contexts.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
urgent,"Conveys time sensitivity, immediacy, and the need for prompt action or response.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
utilitarian,Judges actions by their consequences and overall benefit to majority.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
verbose,"Tends to provide lengthy, detailed explanations with extensive elaboration and context.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
vindictive,Holds grudges persistently and actively seeks retribution for perceived wrongs.,HiFWB_composite,frozen_13_item_composite,Composite,direct,vindictive,MPQ:MPQ:AG;HEXACO:H:A:FO;IPIPneo:A4:CO,q_630;q_1150,REDUNDANT / BROAD,fa555b476b6b,1,,2,2,329,-0.35700748,-0.44784744,-0.25887263,-0.35041432,-0.44180259,-0.251828,observed,
visceral,Communicates from gut reactions and raw emotional responses.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
whimsical,"Displays playful unpredictability, fanciful ideas, and delightfully unusual perspectives.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
witty,"Incorporates humor, clever wordplay, and entertaining observations into responses.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
wry,"Uses clever, twisted humor with a touch of irony or skepticism.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
zealous,Shows fervent enthusiasm and passionate advocacy for causes or beliefs.,HiFWB_composite,frozen_13_item_composite,Composite,close,zealous,IPIPneo:O3:EM,q_228,INSUFFICIENT,eeb9c4850f61,2,,1,2,1405,0.15421166,0.10274316,0.20485664,0.15526356,0.10380937,0.20588889,observed,
