persona,existing_match_status,existing_include_in_analysis,prior_soc_title,prior_soc_2018_code,nlsy97_census_2002_codes,nlsy97_occupation_titles,translation_method,translation_quality,official_crosswalk_chain,mapping_quality,mapping_rationale,top_title_candidate_code,top_title_candidate,top_title_similarity,round12_personality_complete_n,round6_personality_complete_n,round12_feasibility,notes
procrastinator,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
prodigy,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
producer,exact,True,Producers and Directors,27-2012,2710,Producers and directors,official_BLS_2010-2018_crosswalk_same_code_plus_official_2002_Census/SOC_list,official_crosswalk_stable_code_translation,BLS official 2010-to-2018 SOC crosswalk/manual plus official 2002 Census-to-2000-SOC list,exact,Direct occupational title in SOC title.,2710,Producers and directors,1.0,10,2,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
programmer,exact,True,Computer Programmers,15-1251,1010,Computer programmers,exact_normalized_title_match_in_official_2002_Census_code_list,exact_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,exact,Direct occupational title match.,1010,Computer programmers,1.0,13,5,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
proofreader,exact,True,Proofreaders and Copy Markers,43-9081,5910,Proofreaders and copy markers,official_BLS_2010-2018_crosswalk_same_code_plus_official_2002_Census/SOC_list,official_crosswalk_stable_code_translation,BLS official 2010-to-2018 SOC crosswalk/manual plus official 2002 Census-to-2000-SOC list,exact,Direct occupational title match.,5910,Proofreaders and copy markers,1.0,0,0,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
prophet,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
provincial,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
provocateur,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
psychologist,broad,True,"Psychologists, All Other",19-3039,1820,Psychologists,explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,broad,Generic psychologist maps to all-other psychologists.,1820,Psychologists,1.0,3,0,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
publisher,ambiguous,False,Public Relations Managers,11-2031,,,not_applicable,unmatched,not applicable or unresolved,ambiguous,Publisher can be executive/business owner/editorial function; no clean detailed OEWS match.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
purist,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
realist,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
rebel,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
recruiter,close,True,Human Resources Specialists,13-1071,0620,"Human resources, training, and labor relations specialists",explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,close,Recruiter maps to HR specialists.,0130,Human resources managers,0.619443,43,2,exploratory occupational cell,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
refugee,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
reporter,exact,True,"News Analysts, Reporters, and Journalists",27-3023,2810,"News analysts, reporters and correspondents",explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,exact,Direct occupational title in SOC title.,2810,"News analysts, reporters and correspondents",0.657206,9,1,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
researcher,broad,True,"Social Scientists and Related Workers, All Other",19-3099,1860,Miscellaneous social scientists and related workers,explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,broad,Researcher is cross-occupational; broad social-science proxy used only cautiously.,1860,Miscellaneous social scientists and related workers,0.841434,4,1,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
retiree,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
revenant,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
reviewer,ambiguous,False,"Financial Specialists, All Other",13-2099,,,not_applicable,unmatched,not applicable or unresolved,ambiguous,"Reviewer is a task/function, not a clean occupation.",,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
revolutionary,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
robot,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
rogue,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
romantic,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
saboteur,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
sage,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
scheduler,close,True,"Production, Planning, and Expediting Clerks",43-5061,5600,"Production, planning, and expediting clerks",official_BLS_2010-2018_crosswalk_same_code_plus_official_2002_Census/SOC_list,official_crosswalk_stable_code_translation,BLS official 2010-to-2018 SOC crosswalk/manual plus official 2002 Census-to-2000-SOC list,close,"Scheduling maps to planning/expediting clerks, but role is generic.",5600,"Production, planning, and expediting clerks",1.0,17,8,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
scholar,ambiguous,False,"Education Teachers, Postsecondary, All Other",25-1089,,,not_applicable,unmatched,not applicable or unresolved,ambiguous,Scholar is status/role rather than occupation; postsecondary teacher all-other is weak.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
scientist,broad,True,"Life Scientists, All Other",19-1099,1760,"Physical scientists, all other",explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,broad,Scientist is broad; no single detailed SOC.,1960,"Other life, physical, and social science technicians",0.214118,4,0,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
scout,exact,True,Coaches and Scouts,27-2022,2720,"Athletes, coaches, umpires, and related workers",explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,exact,Direct occupational title in SOC title.,2720,"Athletes, coaches, umpires, and related workers",0.192696,16,22,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
screener,close,True,Transportation Security Screeners,33-9093,9420,Other transportation workers,explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,close,Screener is broad; transportation security screeners are concrete but incomplete.,9420,Other transportation workers,0.213132,3,1,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
secretary,exact,True,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43-6014,5700,Secretaries and administrative assistants,explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,exact,Direct occupational title in SOC title.,5700,Secretaries and administrative assistants,0.650113,113,51,strong occupational cell,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
shaman,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
shapeshifter,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
simulacrum,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
skeptic,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
smuggler,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
sociologist,exact,True,Sociologists,19-3041,1830,Sociologists,official_BLS_2010-2018_crosswalk_same_code_plus_official_2002_Census/SOC_list,official_crosswalk_stable_code_translation,BLS official 2010-to-2018 SOC crosswalk/manual plus official 2002 Census-to-2000-SOC list,exact,Direct occupational title match.,1830,Sociologists,1.0,0,0,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
soldier,close,True,"Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other",55-3019,9820,Military enlisted tactical operations and air/weapons specialists and crew members,explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,close,Soldier maps to military enlisted tactical roles; OEWS military coverage is limited/caveated.,9820,Military enlisted tactical operations and air/weapons specialists and crew members,1.0,0,0,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
sommelier,broad,True,First-Line Supervisors of Food Preparation and Serving Workers,35-1012,4010,First-line supervisors/managers of food preparation and serving workers,official_BLS_2010-2018_crosswalk_same_code_plus_official_2002_Census/SOC_list,official_crosswalk_stable_code_translation,BLS official 2010-to-2018 SOC crosswalk/manual plus official 2002 Census-to-2000-SOC list,broad,Sommelier is not separate in OEWS; food service supervisory proxy is weak.,4010,First-line supervisors/managers of food preparation and serving workers,0.806957,42,36,exploratory occupational cell,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
specialist,ambiguous,False,"Business Operations Specialists, All Other",13-1199,,,not_applicable,unmatched,not applicable or unresolved,ambiguous,Specialist is generic.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
spirit,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
spy,ambiguous,False,"First-Line Supervisors of Protective Service Workers, All Other",33-1099,,,not_applicable,unmatched,not applicable or unresolved,ambiguous,Spy/intelligence role is not cleanly public-OEWS measurable.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
statistician,exact,True,Statisticians,15-2041,1230,Statisticians,official_BLS_2010-2018_crosswalk_same_code_plus_official_2002_Census/SOC_list,official_crosswalk_stable_code_translation,BLS official 2010-to-2018 SOC crosswalk/manual plus official 2002 Census-to-2000-SOC list,exact,Direct occupational title match.,1230,Statisticians,1.0,3,0,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
stoic,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
strategist,ambiguous,False,Project Management Specialists,13-1082,,,not_applicable,unmatched,not applicable or unresolved,ambiguous,Strategist is generic and not cleanly measured.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
student,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
summarizer,ambiguous,False,Proofreaders and Copy Markers,43-9081,,,not_applicable,unmatched,not applicable or unresolved,ambiguous,"Summarizer is a task/function, not an occupation.",,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
supervisor,broad,True,First-Line Supervisors of Office and Administrative Support Workers,43-1011,5000,First-line supervisors/managers of office and administrative support workers,official_BLS_2010-2018_crosswalk_same_code_plus_official_2002_Census/SOC_list,official_crosswalk_stable_code_translation,BLS official 2010-to-2018 SOC crosswalk/manual plus official 2002 Census-to-2000-SOC list,broad,Supervisor is generic; office/admin supervisor is one proxy.,5930,"Office and administrative support workers, all other",0.813359,47,8,exploratory occupational cell,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
surfer,ambiguous,False,Amusement and Recreation Attendants,39-3091,,,not_applicable,unmatched,not applicable or unresolved,ambiguous,Surfer is usually hobby/identity; professional mapping is weak.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
survivor,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
swarm,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
symbiont,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
synthesizer,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
teacher,broad,True,"Teachers and Instructors, All Other",25-3099,2340,Other teachers and instructors,explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,broad,Teacher is broad; all-other teachers avoids choosing grade level.,2340,Other teachers and instructors,1.0,24,32,exploratory occupational cell,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
technologist,broad,True,"Computer Occupations, All Other",15-1299,1000,Computer scientists and systems analysts,explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,broad,Technologist is generic.,5800,Computer operators,0.254089,15,1,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
teenager,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
theorist,ambiguous,False,"Social Scientists and Related Workers, All Other",19-3099,,,not_applicable,unmatched,not applicable or unresolved,ambiguous,"Theorist is a scholarly function, not an occupation.",,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
therapist,broad,True,"Therapists, All Other",29-1129,3240,"Therapists, all other",official_BLS_2010-2018_crosswalk_same_code_plus_official_2002_Census/SOC_list,official_crosswalk_stable_code_translation,BLS official 2010-to-2018 SOC crosswalk/manual plus official 2002 Census-to-2000-SOC list,broad,Therapist is broad; all-other therapist category avoids choosing discipline.,3240,"Therapists, all other",1.0,7,0,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
toddler,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
traditionalist,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
trainer,close,True,Training and Development Specialists,13-1151,0620,"Human resources, training, and labor relations specialists",explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,close,Trainer maps to training/development specialists.,0620,"Human resources, training, and labor relations specialists",0.19731,43,2,exploratory occupational cell,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
translator,exact,True,Interpreters and Translators,27-3091,2860,Miscellaneous media and communication workers,explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,exact,Direct occupational title in SOC title.,0010,Chief executives,0.0,7,2,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
tree,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
trickster,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
tulpa,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
tutor,close,True,"Teachers and Instructors, All Other",25-3099,2340,Other teachers and instructors,explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,close,Tutor maps to teachers/instructors all other.,2340,Other teachers and instructors,1.0,24,32,exploratory occupational cell,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
validator,ambiguous,False,"Financial Specialists, All Other",13-2099,,,not_applicable,unmatched,not applicable or unresolved,ambiguous,"Validator is a task/function, not a clean occupation.",,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
vampire,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
vegan,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
veteran,ambiguous,False,"Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other",55-3019,,,not_applicable,unmatched,not applicable or unresolved,ambiguous,"Veteran is prior status, not occupation; military proxy retained as ambiguous only.",,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
veterinarian,exact,True,Veterinarians,29-1131,3250,Veterinarians,official_BLS_2010-2018_crosswalk_same_code_plus_official_2002_Census/SOC_list,official_crosswalk_stable_code_translation,BLS official 2010-to-2018 SOC crosswalk/manual plus official 2002 Census-to-2000-SOC list,exact,Direct occupational title match.,3250,Veterinarians,1.0,0,0,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
vigilante,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
virtuoso,ambiguous,False,Musicians and Singers,27-2042,,,not_applicable,unmatched,not applicable or unresolved,ambiguous,Virtuoso is a skill/status label; musician proxy only if interpreted musically.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
virus,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
visionary,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
void,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
wanderer,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
warrior,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
whale,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
widow,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
wind,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
witch,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
witness,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
workaholic,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
wraith,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
writer,exact,True,Writers and Authors,27-3043,2850,Writers and authors,official_BLS_2010-2018_crosswalk_same_code_plus_official_2002_Census/SOC_list,official_crosswalk_stable_code_translation,BLS official 2010-to-2018 SOC crosswalk/manual plus official 2002 Census-to-2000-SOC list,exact,Direct occupational title match.,2850,Writers and authors,1.0,8,1,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
zealot,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
zeitgeist,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
