model_trait,canonical_definition,coverage_category,coverage_label,review_status,evidence_text,candidate_item_ids,accepted_evidence_item_ids,candidate_scale_names,wording_direction,lexical_candidate_item_ids,semantic_candidate_item_ids,top_semantic_score,ambiguity_flag,notes
dominant,Takes charge of conversations and drives toward specific outcomes.,3,DIRECT / NEAR-DIRECT CONSTRUCT COVERAGE,codex_feasibility_reviewed,q_1768: Take charge. | q_1769: Take control of things. | q_2161: Do not have an assertive personality.,q_1768;q_1769;q_2161;q_1742;q_492;q_1370;q_139;q_1792,q_1768;q_1769;q_2161,IPIP100:B5:E;BFAS:BFAS:E:A;MPQ:MPQ:SP;IPIPneo:E3:AS,mixed_or_reverse_wording_review_required,q_1768;q_1742;q_492;q_1370;q_139,q_1768;q_1742;q_492;q_1370;q_139,0.277887,False,"Face-valid narrow item content; feasibility only, not validated construct equivalence."
strategic,"Identifies patterns, anticipates obstacles, and develops multiple pathways.",2,CLOSE NARROW CONSTRUCT,codex_feasibility_reviewed,q_1321: Like to plan ahead. | q_1422: Make plans and stick to them.,q_1321;q_1422;q_298;q_2821;q_82;q_1748;q_1467;q_1296,q_1321;q_1422,QB6:QB6:C;MPQ:MPQ:CO;IPIP100:B5:C;HEXACO:H:C:PR,same_direction,q_298;q_2821;q_82;q_1748;q_1467,q_298;q_2821;q_82;q_1748;q_1467,0.102549,True,Neighboring narrow content; semantic scope differs from the canonical model-trait definition.
altruistic,Prioritizes helping others and societal benefit over individual gain.,3,DIRECT / NEAR-DIRECT CONSTRUCT COVERAGE,codex_feasibility_reviewed,q_1385: Love to help others. | q_4229: Give money to charities. | q_1764: Sympathize with the homeless.,q_1385;q_4229;q_1764;q_225;q_4291;q_1490;q_146;q_455,q_1385;q_4229;q_1764,IPIP100:B5:A;IPIPneo:A3:AL;EPQr:EPQ:P;IPIPneo:A6:SY,same_direction,q_225;q_1385;q_4291;q_1490;q_146,q_225;q_1385;q_4291;q_1490;q_146,0.174943,False,"Face-valid narrow item content; feasibility only, not validated construct equivalence."
provocative,Deliberately challenges assumptions to stimulate deeper thought.,0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_1310;q_1682;q_1587;q_1300;q_747;q_1388;q_946;q_994,,,not_applicable_or_not_accepted,q_1310;q_1682;q_1587;q_1300;q_747,q_1310;q_1682;q_1587;q_1300;q_747,0.153542,False,No defensible coverage found in this feasibility review.
regulatory,"Emphasizes rules, standards, and compliance with guidelines.",2,CLOSE NARROW CONSTRUCT,codex_feasibility_reviewed,q_1657: See that rules are observed. | q_1752: Stick to the rules.,q_1657;q_1752;q_1694;q_405;q_1214;q_1867;q_4244;q_4291,q_1657;q_1752,BFAS:BFAS:C:O;QB6:QB6:H;IPIPneo:A2:MO,same_direction,q_1694;q_1752;q_405;q_1214;q_1657,q_1694;q_1752;q_405;q_1214;q_1657,0.165267,True,Neighboring narrow content; semantic scope differs from the canonical model-trait definition.
proactive,Anticipates needs and addresses issues before they become problems.,3,DIRECT / NEAR-DIRECT CONSTRUCT COVERAGE,codex_feasibility_reviewed,q_1883: Turn plans into actions. | q_4257: Usually take the initiative in making new friends.,q_1883;q_4257;q_298;q_960;q_423;q_195;q_253;q_1327,q_1883;q_4257,IPIPneo:C4:AS;EPQr:EPQ:E,same_direction,q_298;q_960;q_423;q_195;q_253,q_298;q_960;q_423;q_195;q_253,0.223948,False,"Face-valid narrow item content; feasibility only, not validated construct equivalence."
reactive,Responds to situations as they arise rather than planning ahead.,2,CLOSE NARROW CONSTRUCT,codex_feasibility_reviewed,q_1599: React quickly. | q_1601: React strongly to criticism.,q_1599;q_1601;q_1321;q_501;q_1894;q_1435;q_1367;q_85,q_1599;q_1601,IPIPneo:E4:AL;HEXACO:H:A:FL,same_direction,q_1321;q_501;q_1894;q_1435;q_1367,q_1321;q_501;q_1894;q_1435;q_1367,0.218991,True,Neighboring narrow content; semantic scope differs from the canonical model-trait definition.
individualistic,Emphasizes unique personal expression and individual differences.,1,BROAD-DOMAIN ONLY,codex_feasibility_reviewed,Only broad Big-Five/HEXACO-domain content is plausible; no narrow reviewed item anchor accepted.,q_225;q_146;q_23;q_4222;q_1759;q_2745;q_1081;q_1803,,,not_applicable_or_not_accepted,q_225;q_146;q_23;q_4222;q_1759,q_225;q_146;q_23;q_4222;q_1759,0.131176,True,Broad-domain coverage is not a usable one-to-one trait match.
collectivistic,Prioritizes group needs and collective well-being over individual interests.,1,BROAD-DOMAIN ONLY,codex_feasibility_reviewed,Only broad Big-Five/HEXACO-domain content is plausible; no narrow reviewed item anchor accepted.,q_744;q_253;q_1957;q_298;q_460;q_3090;q_1162;q_761,,,not_applicable_or_not_accepted,q_744;q_253;q_1957;q_298;q_460,q_744;q_253;q_1957;q_298;q_460,0.155454,True,Broad-domain coverage is not a usable one-to-one trait match.
ritualistic,"Values established procedures, formal processes, and ceremonial approaches.",2,CLOSE NARROW CONSTRUCT,codex_feasibility_reviewed,q_1301: Like to be viewed as proper and conventional. | q_1867: Try to follow the rules.,q_1301;q_1867;q_1280;q_901;q_4282;q_1448;q_1022;q_1300,q_1301;q_1867,HEXACO:H:O:U;HEXACO:H:H:F;IPIPneo:C3:DU;PS:PS:S,same_direction,q_1280;q_901;q_4282;q_1448;q_1022,q_1280;q_901;q_4282;q_1448;q_1022,0.054611,True,Neighboring narrow content; semantic scope differs from the canonical model-trait definition.
improvisational,Adapts fluidly to changing circumstances without predetermined scripts or plans.,2,CLOSE NARROW CONSTRUCT,codex_feasibility_reviewed,q_131: Am good at making impromptu speeches. | q_4276: Often make decisions on the spur of the moment.,q_131;q_4276;q_491;q_1467;q_1488;q_1883;q_1422;q_38,q_131;q_4276,HEXACO:H:X:SB;MPQ:MPQ:SP;PS:PS:P;EPQr:EPQ:E,same_direction,q_491;q_1467;q_1488;q_1883;q_1422,q_491;q_1467;q_1488;q_1883;q_1422,0.138,True,Neighboring narrow content; semantic scope differs from the canonical model-trait definition.
conceptual,"Works primarily with ideas, theories, and abstract frameworks rather than concrete details.",1,BROAD-DOMAIN ONLY,codex_feasibility_reviewed,Only broad Big-Five/HEXACO-domain content is plausible; no narrow reviewed item anchor accepted.,q_194;q_1088;q_128;q_1507;q_1511;q_1090;q_2745;q_946,,,not_applicable_or_not_accepted,q_194;q_1088;q_128;q_1507;q_1511,q_194;q_1088;q_128;q_1507;q_1511,0.184709,True,Broad-domain coverage is not a usable one-to-one trait match.
confrontational,Directly addresses conflicts and challenges without avoiding difficult topics.,3,DIRECT / NEAR-DIRECT CONSTRUCT COVERAGE,codex_feasibility_reviewed,q_1051: Have a sharp tongue. | q_630: Do things out of revenge.,q_1051;q_630;q_904;q_919;q_901;q_316;q_1893;q_905,q_1051;q_630,HEXACO:H:A:G;MPQ:MPQ:AG;IPIPneo:A4:CO,same_direction,q_904;q_919;q_901;q_316;q_1893,q_904;q_919;q_901;q_316;q_1893,0.140765,False,"Face-valid narrow item content; feasibility only, not validated construct equivalence."
accommodating,Readily adjusts position to meet others' needs and maintain harmony.,3,DIRECT / NEAR-DIRECT CONSTRUCT COVERAGE,codex_feasibility_reviewed,q_6: Accept people as they are. | q_145: Am inclined to forgive others. | q_1910: Value cooperation over competition.,q_6;q_145;q_1910;q_253;q_1606;q_298;q_1393;q_460,q_6;q_145;q_1910,HEXACO:H:A:G;HEXACO:H:A:FO;QB6:QB6:A;IPIPneo:A6:SY,same_direction,q_253;q_1606;q_298;q_1393;q_460,q_253;q_1606;q_298;q_1393;q_460,0.143768,False,"Face-valid narrow item content; feasibility only, not validated construct equivalence."
fatalistic,"Accepts circumstances as predetermined or beyond control, emphasizing destiny over agency.",0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_978;q_1769;q_1185;q_56;q_4300;q_6;q_1196;q_477,,,not_applicable_or_not_accepted,q_978;q_1769;q_1185;q_56;q_4300,q_978;q_1769;q_1185;q_56;q_4300,0.190456,False,No defensible coverage found in this feasibility review.
playful,"Incorporates fun, games, and lighthearted elements into interactions and problem-solving.",3,DIRECT / NEAR-DIRECT CONSTRUCT COVERAGE,codex_feasibility_reviewed,q_4265: Like telling jokes and funny stories to my friends. | q_1685: Seldom joke around. | q_1043: Have a lot of fun.,q_4265;q_1685;q_1043;q_1671;q_761;q_1957;q_195;q_1883,q_4265;q_1685;q_1043,EPQr:EPQ:E;QB6:QB6:X;IPIPneo:E6:CH;BFAS:BFAS:E:E;HEXACO:H:X:L;MPQ:MPQ:WB,mixed_or_reverse_wording_review_required,q_1671;q_761;q_1957;q_1043;q_195,q_1671;q_761;q_1957;q_1043;q_195,0.151212,False,"Face-valid narrow item content; feasibility only, not validated construct equivalence."
solemn,Maintains gravity and seriousness appropriate to weighty matters and formal occasions.,2,CLOSE NARROW CONSTRUCT,codex_feasibility_reviewed,q_1685: Seldom joke around. | q_1043: Have a lot of fun.,q_1685;q_1043;q_4240;q_4254;q_1393;q_747;q_811;q_1300,q_1685;q_1043,QB6:QB6:X;IPIPneo:E6:CH;BFAS:BFAS:E:E;HEXACO:H:X:L;MPQ:MPQ:WB,mixed_or_reverse_wording_review_required,q_4240;q_4254;q_1393;q_747;q_811,q_4240;q_4254;q_1393;q_747;q_811,0.140923,True,Neighboring narrow content; semantic scope differs from the canonical model-trait definition.
urgent,"Conveys time sensitivity, immediacy, and the need for prompt action or response.",0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_1774;q_1792;q_1360;q_1446;q_4278;q_1448;q_1490;q_253,,,not_applicable_or_not_accepted,q_1774;q_1792;q_1360;q_1446;q_4278,q_1774;q_1792;q_1360;q_1446;q_4278,0.167604,False,No defensible coverage found in this feasibility review.
convergent,Focuses on narrowing options to find the single best answer or solution.,0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_4271;q_515;q_1235;q_492;q_1742;q_698;q_1027;q_917,,,not_applicable_or_not_accepted,q_4271;q_515;q_1235;q_492;q_1742,q_4271;q_515;q_1235;q_492;q_1742,0.102126,False,No defensible coverage found in this feasibility review.
divergent,"Generates multiple possibilities, alternatives, and creative variations without immediate judgment.",0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_1441;q_1218;q_1159;q_35;q_519;q_1567;q_1110;q_4286,,,not_applicable_or_not_accepted,q_1441;q_1218;q_1159;q_35;q_519,q_1441;q_1218;q_1159;q_35;q_519,0.131053,False,No defensible coverage found in this feasibility review.
prescriptive,"Provides specific rules, guidelines, and instructions for what should be done.",0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_1752;q_405;q_1214;q_1657;q_1867;q_4244;q_4291;q_398,,,not_applicable_or_not_accepted,q_1752;q_405;q_1214;q_1657;q_1867,q_1752;q_405;q_1214;q_1657;q_1867,0.119796,False,No defensible coverage found in this feasibility review.
descriptive,Explains how things are without passing judgment or making recommendations.,0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_1173;q_636;q_131;q_4257;q_1215;q_1307;q_623;q_778,,,not_applicable_or_not_accepted,q_1173;q_636;q_131;q_4257;q_1215,q_1173;q_636;q_131;q_4257;q_1215,0.103308,False,No defensible coverage found in this feasibility review.
essentialist,"Believes in fundamental, unchanging nature or essence of things and concepts.",0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_381;q_776;q_1307;q_623;q_1429;q_630;q_1769;q_1215,,,not_applicable_or_not_accepted,q_381;q_776;q_1307;q_623;q_1429,q_381;q_776;q_1307;q_623;q_1429,0.1272,False,No defensible coverage found in this feasibility review.
constructivist,"Views reality, knowledge, and meaning as socially constructed through interaction.",0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_1587;q_3691;q_1248;q_1671;q_1467;q_200;q_1957;q_1360,,,not_applicable_or_not_accepted,q_1587;q_3691;q_1248;q_1671;q_1467,q_1587;q_3691;q_1248;q_1671;q_1467,0.091863,False,No defensible coverage found in this feasibility review.
universalist,Applies consistent principles and values across all cultures and contexts.,1,BROAD-DOMAIN ONLY,codex_feasibility_reviewed,Only broad Big-Five/HEXACO-domain content is plausible; no narrow reviewed item anchor accepted.,q_1341;q_1910;q_1742;q_492;q_2756;q_1835;q_525;q_94,,,not_applicable_or_not_accepted,q_1341;q_1910;q_1742;q_492;q_2756,q_1341;q_1910;q_1742;q_492;q_2756,0.038051,True,Broad-domain coverage is not a usable one-to-one trait match.
paradoxical,Comfortable holding contradictory ideas simultaneously and finding truth in opposites.,0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_820;q_819;q_128;q_89;q_1496;q_1812;q_531;q_20,,,not_applicable_or_not_accepted,q_820;q_819;q_128;q_89;q_1496,q_820;q_819;q_128;q_89;q_1496,0.177566,False,No defensible coverage found in this feasibility review.
spiritual,"Incorporates transcendent dimensions, meaning beyond material existence, and sacred elements.",3,DIRECT / NEAR-DIRECT CONSTRUCT COVERAGE,codex_feasibility_reviewed,q_345: Believe in one true religion. | q_660: Don't consider myself religious.,q_345;q_660;q_316;q_1388;q_1587;q_1341;q_684;q_179,q_345;q_660,MPQ:MPQ:TR;IPIPneo:O6:LI,mixed_or_reverse_wording_review_required,q_316;q_1388;q_1587;q_1341;q_684,q_316;q_1388;q_1587;q_1341;q_684,0.105572,False,"Face-valid narrow item content; feasibility only, not validated construct equivalence."
materialist,"Focuses exclusively on physical, measurable reality and tangible phenomena.",0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_53;q_1388;q_316;q_22;q_4228;q_63;q_1104;q_554,,,not_applicable_or_not_accepted,q_53;q_1388;q_316;q_22;q_4228,q_53;q_1388;q_316;q_22;q_4228,0.190546,False,No defensible coverage found in this feasibility review.
whimsical,"Displays playful unpredictability, fanciful ideas, and delightfully unusual perspectives.",1,BROAD-DOMAIN ONLY,codex_feasibility_reviewed,Only broad Big-Five/HEXACO-domain content is plausible; no narrow reviewed item anchor accepted.,q_128;q_2821;q_1090;q_194;q_946;q_1088;q_2745;q_1232,,,not_applicable_or_not_accepted,q_128;q_2821;q_1090;q_194;q_946,q_128;q_2821;q_1090;q_194;q_946,0.164648,True,Broad-domain coverage is not a usable one-to-one trait match.
sardonic,"Uses dry, mocking humor to comment on life's absurdities and contradictions.",0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_531;q_1371;q_477;q_919;q_262;q_2765;q_755;q_1052,,,not_applicable_or_not_accepted,q_531;q_1371;q_477;q_919;q_262,q_531;q_1371;q_477;q_919;q_262,0.119159,False,No defensible coverage found in this feasibility review.
eloquent,"Expresses ideas with fluent, graceful, and persuasive use of language.",1,BROAD-DOMAIN ONLY,codex_feasibility_reviewed,Only broad Big-Five/HEXACO-domain content is plausible; no narrow reviewed item anchor accepted.,q_128;q_1896;q_1090;q_1893;q_1894;q_946;q_2745;q_194,,,not_applicable_or_not_accepted,q_128;q_1896;q_1090;q_1893;q_1894,q_128;q_1896;q_1090;q_1893;q_1894,0.174389,True,Broad-domain coverage is not a usable one-to-one trait match.
melodramatic,Expresses ideas with exaggerated emotion and theatrical intensity.,0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_128;q_1090;q_194;q_946;q_2745;q_793;q_1232;q_1088,,,not_applicable_or_not_accepted,q_128;q_1090;q_194;q_946;q_2745,q_128;q_1090;q_194;q_946;q_2745,0.17379,False,No defensible coverage found in this feasibility review.
understated,Deliberately downplays significance and expresses ideas with restraint.,0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_128;q_1088;q_194;q_1090;q_946;q_2745;q_1232;q_722,,,not_applicable_or_not_accepted,q_128;q_1088;q_194;q_1090;q_946,q_128;q_1088;q_194;q_1090;q_946,0.173273,False,No defensible coverage found in this feasibility review.
poetic,"Uses lyrical language, imagery, and rhythmic patterns to convey meaning.",0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_1587;q_612;q_2853;q_1894;q_1083;q_923;q_1301;q_82,,,not_applicable_or_not_accepted,q_1587;q_612;q_2853;q_1894;q_1083,q_1587;q_612;q_2853;q_1894;q_1083,0.093563,False,No defensible coverage found in this feasibility review.
enigmatic,"Maintains mystery and ambiguity in communication, resisting clear interpretation.",0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_736;q_1393;q_156;q_923;q_150;q_946;q_148;q_422,,,not_applicable_or_not_accepted,q_736;q_1393;q_156;q_923;q_150,q_736;q_1393;q_156;q_923;q_150,0.070106,False,No defensible coverage found in this feasibility review.
transparent,"Communicates with complete openness, clarity, and nothing hidden or obscured.",2,CLOSE NARROW CONSTRUCT,codex_feasibility_reviewed,q_1812: Tell the truth. | q_1436: Misrepresent the facts.,q_1812;q_1436;q_1758;q_520;q_519;q_1024;q_76;q_1374,q_1812;q_1436,IPIPneo:C3:DU,same_direction,q_1758;q_520;q_519;q_1024;q_76,q_1758;q_520;q_519;q_1024;q_76,0.138189,True,Neighboring narrow content; semantic scope differs from the canonical model-trait definition.
passionate,"Shows intense enthusiasm, strong emotions, and deep investment in topics.",3,DIRECT / NEAR-DIRECT CONSTRUCT COVERAGE,codex_feasibility_reviewed,q_228: Am passionate about causes.,q_228;q_2020;q_793;q_1055;q_844;q_1185;q_1054;q_1064,q_228,IPIPneo:O3:EM,same_direction,q_228;q_2020;q_793;q_1055;q_844,q_228;q_2020;q_793;q_1055;q_844,0.181244,False,"Face-valid narrow item content; feasibility only, not validated construct equivalence."
dispassionate,"Maintains emotional distance, objectivity, and neutrality regardless of topic.",0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_1196;q_1681;q_1589;q_721;q_797;q_228;q_1687;q_3090,,,not_applicable_or_not_accepted,q_1196;q_1681;q_1589;q_721;q_797,q_1196;q_1681;q_1589;q_721;q_797,0.230116,False,No defensible coverage found in this feasibility review.
animated,"Uses vivid descriptions, energetic style, and dynamic expression in communication.",1,BROAD-DOMAIN ONLY,codex_feasibility_reviewed,Only broad Big-Five/HEXACO-domain content is plausible; no narrow reviewed item anchor accepted.,q_1058;q_1759;q_803;q_1998;q_1477;q_799;q_1081;q_1281,,,not_applicable_or_not_accepted,q_1058;q_1759;q_803;q_1998;q_1477,q_1058;q_1759;q_803;q_1998;q_1477,0.168748,True,Broad-domain coverage is not a usable one-to-one trait match.
pensive,"Shows thoughtful consideration, deep reflection, and contemplative approach.",1,BROAD-DOMAIN ONLY,codex_feasibility_reviewed,Only broad Big-Five/HEXACO-domain content is plausible; no narrow reviewed item anchor accepted.,q_901;q_1389;q_1738;q_1536;q_2756;q_1310;q_1682;q_525,,,not_applicable_or_not_accepted,q_901;q_1389;q_1738;q_1536;q_2756,q_901;q_1389;q_1738;q_1536;q_2756,0.139614,True,Broad-domain coverage is not a usable one-to-one trait match.
meticulous,"Shows extreme care for precision, accuracy, and attention to every detail.",3,DIRECT / NEAR-DIRECT CONSTRUCT COVERAGE,codex_feasibility_reviewed,q_1063: Have an eye for detail. | q_1507: Pay attention to details. | q_1915: Want every detail taken care of.,q_1063;q_1507;q_1915;q_1511;q_1296;q_69;q_1416;q_690,q_1063;q_1507;q_1915,HEXACO:H:C:PE;IPIP100:B5:C;MPQ:MPQ:CO;BFAS:BFAS:C:O,same_direction,q_1915;q_1507;q_1511;q_1296;q_69,q_1915;q_1507;q_1511;q_1296;q_69,0.190208,False,"Face-valid narrow item content; feasibility only, not validated construct equivalence."
earnest,Shows sincere conviction and genuine commitment without pretense or irony.,1,BROAD-DOMAIN ONLY,codex_feasibility_reviewed,Only broad Big-Five/HEXACO-domain content is plausible; no narrow reviewed item anchor accepted.,q_1543;q_139;q_35;q_704;q_463;q_636;q_1173;q_85,,,not_applicable_or_not_accepted,q_1543;q_139;q_35;q_704;q_463,q_1543;q_139;q_35;q_704;q_463,0.069004,True,Broad-domain coverage is not a usable one-to-one trait match.
flippant,Treats serious matters with inappropriate lightness and casual disregard.,0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_4254;q_1979;q_780;q_2775;q_53;q_4267;q_1567;q_1899,,,not_applicable_or_not_accepted,q_4254;q_1979;q_780;q_2775;q_53,q_4254;q_1979;q_780;q_2775;q_53,0.061635,False,No defensible coverage found in this feasibility review.
tactful,Carefully considers impact on others' feelings and chooses words diplomatically.,1,BROAD-DOMAIN ONLY,codex_feasibility_reviewed,Only broad Big-Five/HEXACO-domain content is plausible; no narrow reviewed item anchor accepted.,q_507;q_1763;q_146;q_403;q_1703;q_219;q_1755;q_158,,,not_applicable_or_not_accepted,q_507;q_1763;q_146;q_403;q_1703,q_507;q_1763;q_146;q_403;q_1703,0.19291,True,Broad-domain coverage is not a usable one-to-one trait match.
rhetorical,"Uses persuasive techniques, figures of speech, and argumentative devices effectively.",0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_1992;q_4230;q_131;q_4226;q_4295;q_4241;q_279;q_4288,,,not_applicable_or_not_accepted,q_1992;q_4230;q_131;q_4226;q_4295,q_1992;q_4230;q_131;q_4226;q_4295,0.115322,False,No defensible coverage found in this feasibility review.
erudite,Displays extensive scholarly knowledge and learning across multiple disciplines.,0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_1253;q_1536;q_4271;q_946;q_1993;q_45;q_3023;q_44,,,not_applicable_or_not_accepted,q_1253;q_1536;q_4271;q_946;q_1993,q_1253;q_1536;q_4271;q_946;q_1993,0.039103,False,No defensible coverage found in this feasibility review.
accessible,Makes complex ideas understandable to broad audiences without condescension.,1,BROAD-DOMAIN ONLY,codex_feasibility_reviewed,Only broad Big-Five/HEXACO-domain content is plausible; no narrow reviewed item anchor accepted.,q_128;q_1861;q_423;q_1327;q_1088;q_2745;q_1090;q_722,,,not_applicable_or_not_accepted,q_128;q_1861;q_423;q_1327;q_1088,q_128;q_1861;q_423;q_1327;q_1088,0.160393,True,Broad-domain coverage is not a usable one-to-one trait match.
cryptic,Communicates in deliberately puzzling ways that require interpretation.,0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_82;q_1392;q_2821;q_1162;q_1825;q_26;q_875;q_1218,,,not_applicable_or_not_accepted,q_82;q_1392;q_2821;q_1162;q_1825,q_82;q_1392;q_2821;q_1162;q_1825,0.092457,False,No defensible coverage found in this feasibility review.
effusive,Shows unrestrained enthusiasm and overflowing emotional expression.,2,CLOSE NARROW CONSTRUCT,codex_feasibility_reviewed,q_1681: Seldom get emotional. | q_1703: Show my feelings when I'm happy.,q_1681;q_1703;q_2160;q_797;q_1589;q_721;q_1687;q_1759,q_1681;q_1703,HEXACO:H:E:S;IPIPneo:O3:EM;BFAS:BFAS:E:E;QB6:QB6:X,mixed_or_reverse_wording_review_required,q_1681;q_2160;q_797;q_1589;q_721,q_1681;q_2160;q_797;q_1589;q_721,0.128799,True,Neighboring narrow content; semantic scope differs from the canonical model-trait definition.
reserved,Maintains emotional restraint and limits personal disclosure.,3,DIRECT / NEAR-DIRECT CONSTRUCT COVERAGE,codex_feasibility_reviewed,q_1196: Keep others at a distance. | q_1635: Reveal little about myself. | q_1742: Start conversations.,q_1196;q_1635;q_1742;q_225;q_1681;q_1589;q_797;q_721,q_1196;q_1635;q_1742,BFAS:BFAS:E:E;HEXACO:H:X:S;MPQ:MPQ:SC;IPIPneo:E1:FR;QB6:QB6:X;IPIP100:B5:E,same_direction,q_225;q_1681;q_1589;q_797;q_721,q_225;q_1681;q_1589;q_797;q_721,0.155436,False,"Face-valid narrow item content; feasibility only, not validated construct equivalence."
mercurial,"Shifts rapidly between moods, styles, and approaches unpredictably.",3,DIRECT / NEAR-DIRECT CONSTRUCT COVERAGE,codex_feasibility_reviewed,q_52: Am a person whose moods go up and down easily. | q_497: Change my mood a lot. | q_1099: Have frequent mood swings.,q_52;q_497;q_1099;q_1840;q_901;q_2018;q_1281;q_208,q_52;q_497;q_1099,BFAS:BFAS:N:V;IPIP100:B5:ES;MPQ:MPQ:SR;IPIPneo:N3:DE,same_direction,q_52;q_1840;q_901;q_2018;q_1281,q_52;q_1840;q_901;q_2018;q_1281,0.115298,False,"Face-valid narrow item content; feasibility only, not validated construct equivalence."
deferential,Shows respect by yielding to others' authority and expertise.,3,DIRECT / NEAR-DIRECT CONSTRUCT COVERAGE,codex_feasibility_reviewed,q_1624: Respect authority. | q_917: Find it necessary to please the people who have power.,q_1624;q_917;q_1609;q_4236;q_538;q_844;q_1759;q_146,q_1624;q_917,BFAS:BFAS:A:P;HEXACO:H:H:S,same_direction,q_1624;q_1609;q_4236;q_538;q_844,q_1624;q_1609;q_4236;q_538;q_844,0.369134,False,"Face-valid narrow item content; feasibility only, not validated construct equivalence."
wry,"Uses clever, twisted humor with a touch of irony or skepticism.",0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_40;q_1601;q_4298;q_966;q_4267;q_148;q_285;q_150,,,not_applicable_or_not_accepted,q_40;q_1601;q_4298;q_966;q_4267,q_40;q_1601;q_4298;q_966;q_4267,0.122267,False,No defensible coverage found in this feasibility review.
calculating,Strategically plans communications for maximum effect and desired outcomes.,3,DIRECT / NEAR-DIRECT CONSTRUCT COVERAGE,codex_feasibility_reviewed,q_1896: Use others for my own ends. | q_1765: Take advantage of others. | q_905: Find it difficult to manipulate others.,q_1896;q_1765;q_905;q_491;q_1422;q_1883;q_1467;q_1488,q_1896;q_1765;q_905,QB6:QB6:H;IPIPneo:A2:MO;BFAS:BFAS:A:P;MPQ:MPQ:SP,mixed_or_reverse_wording_review_required,q_491;q_1422;q_1883;q_1467;q_1488,q_491;q_1422;q_1883;q_1467;q_1488,0.123026,False,"Face-valid narrow item content; feasibility only, not validated construct equivalence."
visceral,Communicates from gut reactions and raw emotional responses.,2,CLOSE NARROW CONSTRUCT,codex_feasibility_reviewed,q_793: Experience my emotions intensely. | q_1589: Rarely notice my emotional reactions.,q_793;q_1589;q_1681;q_797;q_721;q_1687;q_844;q_1185,q_793;q_1589,IPIPneo:O3:EM,mixed_or_reverse_wording_review_required,q_1589;q_1681;q_797;q_721;q_1687,q_1589;q_1681;q_797;q_721;q_1687,0.241842,True,Neighboring narrow content; semantic scope differs from the canonical model-trait definition.
